promo_id,event_name,vendor_id,sku,start_date,end_date,promoted_volume,promo_type
PRM-001,Seasonal Lift 1,V1001,SKU-101,2026-04-04,2026-04-11,1200,tpr
PRM-002,Seasonal Lift 2,V1002,SKU-201,2026-04-05,2026-04-12,1290,tpr
PRM-003,Seasonal Lift 3,V1003,SKU-301,2026-04-06,2026-04-13,1380,tpr
PRM-004,Seasonal Lift 4,V1004,SKU-401,2026-04-07,2026-04-14,1470,tpr
PRM-005,Seasonal Lift 5,V1005,SKU-501,2026-04-08,2026-04-15,1560,tpr
PRM-006,Seasonal Lift 6,V1006,SKU-601,2026-04-09,2026-04-16,1650,tpr
PRM-007,Seasonal Lift 7,V1007,SKU-701,2026-04-10,2026-04-17,1740,tpr
PRM-008,Seasonal Lift 8,V1008,SKU-801,2026-04-11,2026-04-18,1830,tpr
PRM-009,Seasonal Lift 9,V1009,SKU-901,2026-04-12,2026-04-19,1920,tpr
PRM-010,Seasonal Lift 10,V1010,SKU-1001,2026-04-13,2026-04-20,2010,tpr
